,accuracy,precision,recall,f1
0,0.3446580241394725,0.11880967382617254,0.3446580241394725,0.17670576659096182
1,0.3448815377738042,0.20250099694305365,0.3448815377738042,0.17742135628691164
2,0.3442617954240663,0.16982168254332441,0.3442617954240663,0.17865185262487315
3,0.3442211565814606,0.24437462639211227,0.3442211565814606,0.1779818577356734
4,0.36407323119437557,0.24539094391255536,0.36407323119437557,0.2372621785773996
5,0.3602023814361767,0.2335969728736342,0.3602023814361767,0.24258059605218493
6,0.3592778477668956,0.24000224723840738,0.3592778477668956,0.24421629002336875
7,0.3617161783232414,0.23193659402325909,0.3617161783232414,0.23940536415199268
8,0.36163490063802983,0.2367890115641672,0.36163490063802983,0.2379618105433363
9,0.3634026902913805,0.23793565867656769,0.3634026902913805,0.23541394461874102
10,0.36351444710854636,0.2363218138635846,0.36351444710854636,0.2350929956856346
11,0.36282358678424836,0.23197148643783233,0.36282358678424836,0.23834423306957733
12,0.36019222172552523,0.22762423560976158,0.36019222172552523,0.24134886747447326
13,0.3578758076969968,0.22469284104562098,0.3578758076969968,0.24312243276884687
14,0.39216483114560896,0.2590039874042534,0.39216483114560896,0.2881471908585576
15,0.3902954443857439,0.2593761305172991,0.3902954443857439,0.2877780548689531
16,0.4453407566952493,0.29846905844870303,0.4453407566952493,0.34454794240392633
17,0.45159913845653676,0.30208831980698814,0.45159913845653676,0.35113375200917846
18,0.452757345470801,0.30255167132290445,0.452757345470801,0.3517967159010637
19,0.43855406998008695,0.2930076877142949,0.43855406998008695,0.3350256304664487
20,0.43520136546511157,0.2906871296529831,0.43520136546511157,0.32942870986258765
21,0.44027106108018044,0.29373627205171415,0.44027106108018044,0.3352889052545228
22,0.4464380054456049,0.2978340737829085,0.4464380054456049,0.3426534800105901
23,0.4475657333279148,0.2985282321146432,0.4475657333279148,0.34397285742311595
24,0.444619417238997,0.2965328114977683,0.444619417238997,0.34081217332848684
25,0.44800260088592675,0.300010946964659,0.44800260088592675,0.3439311095176854
26,0.45194456861868576,0.30230079914919067,0.45194456861868576,0.34924019613581797
27,0.4518632909334742,0.30218236469947524,0.4518632909334742,0.349796600375922
28,0.44857154468240745,0.3005512921564514,0.44857154468240745,0.34419438670007085
29,0.4442841467874995,0.29593390201338765,0.4442841467874995,0.33913223441049506
30,0.4458385825171699,0.29667929206025545,0.4458385825171699,0.3403882464193856
31,0.4494859186410371,0.3016269420608034,0.4494859186410371,0.3444767945821708
32,0.453448205795099,0.30306518349009176,0.453448205795099,0.34940539783738406
33,0.4532348518714187,0.3035111745995144,0.4532348518714187,0.3496906538429357
34,0.45336692810988743,0.3031882235026565,0.45336692810988743,0.3497024782620207
35,0.4564351607266225,0.30506772194574394,0.4564351607266225,0.35408219823839504
36,0.4550839192099809,0.30460920492091736,0.4550839192099809,0.3521010328392896
37,0.4507660421831186,0.3019846913925325,0.4507660421831186,0.34603439668555874
38,0.4540374690128825,0.3040449729258886,0.4540374690128825,0.3496279269982489
39,0.45496200268216364,0.30407019180051537,0.45496200268216364,0.35089689132835516
40,0.45608973056447355,0.30500242694194624,0.45608973056447355,0.35203404154497386
41,0.45642500101597105,0.3050587241803876,0.45642500101597105,0.3524333244882091
42,0.45549030763603854,0.30477223632364947,0.45549030763603854,0.3516081347628949
43,0.4577559231113098,0.3062857939587582,0.4577559231113098,0.35408686456552263
44,0.45870077620189376,0.3063371844824417,0.45870077620189376,0.3556467962240034
45,0.45422034380460846,0.3041725446645395,0.45422034380460846,0.34963860466953267
46,0.45232047791278907,0.30344084844124414,0.45232047791278907,0.34732596851772884
47,0.4499532653310034,0.3014942615166368,0.4499532653310034,0.3444369544219694
